osm_id,name,category,subcategory,latitude,longitude,source,collection_date
node/10904656795,pantaloons,shop,supermarket,27.5828056,77.6071633,OpenStreetMap,2026-09-10
node/10904656796,sikh temple,amenity,place_of_worship,27.5825872,77.6081452,OpenStreetMap,2026-09-10
node/10904656797,laundry,shop,laundry,27.5827276,77.6079165,OpenStreetMap,2026-09-10
node/10904656799,radhika sweets,shop,confectionery,27.5828274,77.6075082,OpenStreetMap,2026-09-10
node/10904656800,shri ram mithaiwale,shop,confectionery,27.5826558,77.6072301,OpenStreetMap,2026-09-10
node/10904656801,medical store,shop,medical_supply,27.5815733,77.6073076,OpenStreetMap,2026-09-10
node/10904656802,Unnamed,amenity,cafe,27.581486,77.6073639,OpenStreetMap,2026-09-10
node/10904656804,Unnamed,amenity,bar,27.582609,77.6069627,OpenStreetMap,2026-09-10
node/10904676106,Unnamed,amenity,restaurant,27.5816326,77.6055055,OpenStreetMap,2026-09-10
node/10904676107,candy citton,shop,confectionery,27.5821785,77.60729,OpenStreetMap,2026-09-10
node/10904676108,laundry wash,shop,laundry,27.5821567,77.6071659,OpenStreetMap,2026-09-10
node/10904676110,foodie corner,amenity,restaurant,27.582322,77.6070427,OpenStreetMap,2026-09-10
node/10904676111,momos adda,amenity,fast_food,27.5813955,77.6069151,OpenStreetMap,2026-09-10
node/10904676112,ccd,amenity,cafe,27.5818291,77.6077035,OpenStreetMap,2026-09-10
node/10904676113,bar club,amenity,bar,27.5822565,77.6079077,OpenStreetMap,2026-09-10
node/10904676114,kp cafe,amenity,cafe,27.5822655,77.6066156,OpenStreetMap,2026-09-10
node/11240694138,Unnamed,amenity,bus_station,27.5780536,77.6992345,OpenStreetMap,2026-09-10
node/11429010334,Rahul Hair Dressing Salon,shop,hairdresser,27.5875483,77.7003002,OpenStreetMap,2026-09-10
node/11429160220,Mahar Hair Dressing Salon,shop,hairdresser,27.5840546,77.7026372,OpenStreetMap,2026-09-10
node/11698384649,GOVIND NAGAR STATION,amenity,police,27.5096823,77.6707866,OpenStreetMap,2026-09-10
